year_month,state_final,district_norm,demo_age_5_17,demo_age_17_,total_demographic_updates
2025-04,telangana,nizamabad,244,1293,1537
2025-04,telangana,sangareddy,115,581,696
2025-04,telangana,suryapet,95,811,906
2025-04,telangana,vikarabad,250,1386,1636
2025-04,uttar pradesh,aligarh,1954,18794,20748
2025-04,uttar pradesh,baghpat,732,4722,5454
2025-04,uttar pradesh,bareilly,1154,9929,11083
2025-04,uttar pradesh,bijnor,760,6940,7700
2025-04,uttar pradesh,budaun,1064,9998,11062
2025-04,uttar pradesh,bulandshahr,1630,12498,14128
2025-04,uttar pradesh,etawah,624,4268,4892
2025-04,uttar pradesh,firozabad,651,8545,9196
2025-04,uttar pradesh,gautam buddha nagar,1402,11160,12562
2025-04,uttar pradesh,ghaziabad,2722,24160,26882
2025-04,uttar pradesh,hardoi,360,2961,3321
2025-04,uttar pradesh,kanpur nagar,366,4562,4928
2025-04,uttar pradesh,lucknow,489,4100,4589
2025-04,uttar pradesh,meerut,206,1955,2161
2025-04,uttar pradesh,muzaffarnagar,477,3116,3593
2025-04,uttar pradesh,pilibhit,944,10402,11346
2025-04,uttar pradesh,rampur,756,5993,6749
2025-04,uttar pradesh,saharanpur,1506,13080,14586
2025-04,uttar pradesh,shamli,644,5240,5884
2025-04,uttarakhand,champawat,86,649,735
2025-04,uttarakhand,dehradun,492,4348,4840
2025-04,uttarakhand,haridwar,296,2284,2580
2025-04,uttarakhand,nainital,1182,6332,7514
2025-04,uttarakhand,pauri garhwal,91,999,1090
2025-04,uttarakhand,udham singh nagar,2281,15108,17389
2025-04,uttarakhand,uttarkashi,98,756,854
2025-04,west bengal,birbhum,120,1788,1908
2025-04,west bengal,dakshin dinajpur,182,2156,2338
2025-04,west bengal,malda,264,2419,2683
2025-04,west bengal,murshidabad,780,9293,10073
2025-04,west bengal,purba medinipur,236,1274,1510
2025-04,west bengal,puruliya,168,1780,1948
2025-04,west bengal,south 24 parganas,563,7228,7791
2025-04,west bengal,uttar dinajpur,643,9442,10085
2025-05,andhra pradesh,ananthapuramu,1538,5976,7514
2025-05,andhra pradesh,annamayya,917,4059,4976
2025-05,andhra pradesh,bapatla,242,1312,1554
2025-05,andhra pradesh,chittoor,3043,14340,17383
2025-05,andhra pradesh,cuddapah,154,1134,1288
2025-05,andhra pradesh,dr. b. r. ambedkar konaseema,96,712,808
2025-05,andhra pradesh,east godavari,1159,7533,8692
2025-05,andhra pradesh,eluru,59,319,378
2025-05,andhra pradesh,guntur,1635,10715,12350
2025-05,andhra pradesh,kakinada,484,3348,3832
2025-05,andhra pradesh,krishna,1336,9629,10965
2025-05,andhra pradesh,kurnool,3439,16144,19583
2025-05,andhra pradesh,n. t. r,635,4261,4896
2025-05,andhra pradesh,nandyal,769,4026,4795
2025-05,andhra pradesh,palnadu,583,3170,3753
2025-05,andhra pradesh,parvathipuram manyam,94,486,580
2025-05,andhra pradesh,prakasam,450,3318,3768
2025-05,andhra pradesh,sri potti sriramulu nellore,550,3015,3565
2025-05,andhra pradesh,sri sathya sai,423,2049,2472
2025-05,andhra pradesh,srikakulam,2108,8018,10126
2025-05,andhra pradesh,tirupati,907,4623,5530
2025-05,andhra pradesh,visakhapatnam,1637,10214,11851
2025-05,andhra pradesh,vizianagaram,716,4410,5126
2025-05,andhra pradesh,west godavari,874,5888,6762
2025-05,andhra pradesh,y. s. r,544,2713,3257
2025-05,assam,kokrajhar,176,1252,1428
2025-05,bihar,sitamarhi,768,9424,10192
2025-05,chandigarh,chandigarh,2338,9805,12143
2025-05,chhattisgarh,balod,286,2687,2973
2025-05,chhattisgarh,baloda bazar,195,2667,2862
2025-05,chhattisgarh,bastar,162,1256,1418
2025-05,chhattisgarh,bemetara,866,11112,11978
2025-05,chhattisgarh,dhamtari,268,5332,5600
2025-05,chhattisgarh,janjgir-champa,119,1452,1571
2025-05,chhattisgarh,jashpur,554,2430,2984
2025-05,chhattisgarh,kabeerdham,394,3678,4072
2025-05,chhattisgarh,korba,447,5853,6300
2025-05,chhattisgarh,mahasamund,445,4571,5016
2025-05,chhattisgarh,mungeli,138,1919,2057
2025-05,chhattisgarh,raipur,1310,12146,13456
2025-05,chhattisgarh,rajnandgaon,277,2211,2488
2025-05,chhattisgarh,surajpur,114,1262,1376
2025-05,chhattisgarh,surguja,436,3682,4118
2025-05,delhi,central delhi,132,1325,1457
2025-05,delhi,east delhi,3486,24590,28076
2025-05,delhi,north delhi,1438,11216,12654
2025-05,delhi,north east delhi,4198,13938,18136
2025-05,delhi,north west delhi,5239,33354,38593
2025-05,delhi,south delhi,1272,11494,12766
2025-05,delhi,south west delhi,1480,10590,12070
2025-05,delhi,west delhi,887,7347,8234
2025-05,gujarat,ahmedabad,2420,17864,20284
2025-05,gujarat,banaskantha,931,4927,5858
2025-05,gujarat,bharuch,454,3262,3716
2025-05,gujarat,bhavnagar,189,1683,1872
2025-05,gujarat,gandhinagar,630,4952,5582
2025-05,gujarat,gir somnath,192,548,740
2025-05,gujarat,jamnagar,129,1984,2113
2025-05,gujarat,kachchh,126,703,829
2025-05,gujarat,mahesana,190,1532,1722
2025-05,gujarat,morbi,72,424,496
2025-05,gujarat,rajkot,1617,19736,21353
2025-05,gujarat,surat,6338,53072,59410
2025-05,gujarat,surendra nagar,77,526,603
2025-05,gujarat,the dangs,412,638,1050
2025-05,gujarat,valsad,911,4282,5193
2025-05,haryana,ambala,502,2700,3202
2025-05,haryana,bhiwani,377,2282,2659
2025-05,haryana,charkhi dadri,147,768,915
2025-05,haryana,faridabad,2984,17768,20752
2025-05,haryana,fatehabad,532,3435,3967
2025-05,haryana,gurgaon,373,2468,2841
2025-05,haryana,hisar,591,5363,5954
2025-05,haryana,jind,394,2756,3150
2025-05,haryana,kaithal,25,231,256
2025-05,haryana,karnal,1537,8280,9817
2025-05,haryana,kurukshetra,559,3431,3990
2025-05,haryana,mahendragarh,427,3826,4253
2025-05,haryana,mewat,842,5780,6622
2025-05,haryana,palwal,642,4930,5572
2025-05,haryana,panchkula,752,3238,3990
2025-05,haryana,panipat,1836,11334,13170
2025-05,haryana,rewari,972,5008,5980
2025-05,haryana,rohtak,497,2733,3230
2025-05,haryana,sirsa,771,6778,7549
2025-05,haryana,sonipat,154,1186,1340
2025-05,haryana,yamuna nagar,699,4573,5272
2025-05,himachal pradesh,chamba,48,194,242
2025-05,himachal pradesh,sirmaur,88,806,894
2025-05,jammu and kashmir,anantnag,348,1090,1438
2025-05,jammu and kashmir,baramula,419,2365,2784
2025-05,jammu and kashmir,budgam,492,837,1329
2025-05,jammu and kashmir,doda,15,110,125
2025-05,jammu and kashmir,kathua,46,582,628
2025-05,jammu and kashmir,kulgam,372,1566,1938
2025-05,jammu and kashmir,kupwara,1156,4646,5802
2025-05,jammu and kashmir,pulwama,372,1454,1826
2025-05,jammu and kashmir,samba,58,352,410
2025-05,jammu and kashmir,shupiyan,572,1846,2418
2025-05,jammu and kashmir,srinagar,102,1128,1230
2025-05,jammu and kashmir,udhampur,40,560,600
2025-05,jharkhand,ranchi,320,3226,3546
2025-05,karnataka,bagalkot,1084,2293,3377
2025-05,karnataka,ballari,676,2185,2861
2025-05,karnataka,bangalore rural,541,2890,3431
2025-05,karnataka,belagavi,550,2272,2822
2025-05,karnataka,bengaluru,5452,29444,34896
2025-05,karnataka,bidar,156,590,746
2025-05,karnataka,chikkaballapur,377,2580,2957
2025-05,karnataka,chikkamagaluru,74,192,266
2025-05,karnataka,chitradurga,684,3432,4116
2025-05,karnataka,dakshina kannada,100,326,426
2025-05,karnataka,davangere,370,945,1315
2025-05,karnataka,dharwad,1288,4130,5418
2025-05,karnataka,gadag,694,1389,2083
2025-05,karnataka,hassan,631,3058,3689
2025-05,karnataka,haveri,792,3177,3969
2025-05,karnataka,kalaburagi,1102,3710,4812
2025-05,karnataka,kolar,1218,5592,6810
2025-05,karnataka,koppal,707,2160,2867
2025-05,karnataka,mandya,466,2426,2892
2025-05,karnataka,mysuru,656,3665,4321
2025-05,karnataka,raichur,770,3290,4060
2025-05,karnataka,ramanagar,333,2523,2856
2025-05,karnataka,shivamogga,330,806,1136
2025-05,karnataka,tumakuru,423,1350,1773
2025-05,karnataka,uttara kannada,309,1146,1455
2025-05,karnataka,yadgir,416,1311,1727
2025-05,madhya pradesh,agar malwa,116,753,869
2025-05,madhya pradesh,anuppur,533,2324,2857
2025-05,madhya pradesh,ashok nagar,940,5512,6452
2025-05,madhya pradesh,balaghat,1708,8424,10132
2025-05,madhya pradesh,barwani,2371,13133,15504
2025-05,madhya pradesh,betul,366,1038,1404
2025-05,madhya pradesh,bhind,387,1897,2284
2025-05,madhya pradesh,bhopal,1299,9262,10561
2025-05,madhya pradesh,chhatarpur,1156,4354,5510
2025-05,madhya pradesh,chhindwara,2121,9663,11784
2025-05,madhya pradesh,damoh,148,877,1025
2025-05,madhya pradesh,datia,878,4366,5244
2025-05,madhya pradesh,dewas,815,4008,4823
2025-05,madhya pradesh,dhar,1394,9142,10536
2025-05,madhya pradesh,dindori,1604,5613,7217
2025-05,madhya pradesh,guna,101,679,780
2025-05,madhya pradesh,gwalior,1236,6306,7542
2025-05,madhya pradesh,harda,326,1807,2133
2025-05,madhya pradesh,hoshangabad,234,950,1184
2025-05,madhya pradesh,indore,2564,19636,22200
2025-05,madhya pradesh,jabalpur,1437,12455,13892
2025-05,madhya pradesh,jhabua,180,1095,1275
2025-05,madhya pradesh,katni,636,4486,5122
2025-05,madhya pradesh,khandwa,374,788,1162
2025-05,madhya pradesh,khargone,549,2794,3343
2025-05,madhya pradesh,mandla,1514,6204,7718
2025-05,madhya pradesh,mandsaur,1073,4555,5628
2025-05,madhya pradesh,morena,1490,8260,9750
2025-05,madhya pradesh,narmadapuram,82,404,486
2025-05,madhya pradesh,narsinghpur,306,1212,1518
2025-05,madhya pradesh,neemuch,571,4590,5161
2025-05,madhya pradesh,panna,688,3976,4664
2025-05,madhya pradesh,raisen,737,3096,3833
2025-05,madhya pradesh,rajgarh,1020,3699,4719
2025-05,madhya pradesh,ratlam,1178,6586,7764
2025-05,madhya pradesh,rewa,868,6379,7247
2025-05,madhya pradesh,sagar,1276,9920,11196
2025-05,madhya pradesh,satna,636,3740,4376
2025-05,madhya pradesh,sehore,344,1476,1820
2025-05,madhya pradesh,seoni,584,3360,3944
2025-05,madhya pradesh,shahdol,1077,6122,7199
2025-05,madhya pradesh,shajapur,512,2774,3286
2025-05,madhya pradesh,sheopur,446,2902,3348
2025-05,madhya pradesh,sidhi,638,4022,4660
2025-05,madhya pradesh,tikamgarh,608,1800,2408
2025-05,madhya pradesh,ujjain,543,3611,4154
2025-05,madhya pradesh,vidisha,628,2920,3548
2025-05,maharashtra,amravati,24,338,362
2025-05,maharashtra,aurangabad,322,2292,2614
2025-05,maharashtra,beed,514,4808,5322
2025-05,maharashtra,chandrapur,179,2506,2685
2025-05,maharashtra,gadchiroli,108,915,1023
2025-05,maharashtra,gondiya,220,1536,1756
2025-05,maharashtra,latur,404,3860,4264
2025-05,maharashtra,mumbai city,500,3376,3876
2025-05,maharashtra,mumbai suburban,1233,7982,9215
2025-05,maharashtra,nagpur,438,2638,3076
2025-05,maharashtra,nandurbar,166,2606,2772
2025-05,maharashtra,nashik,206,1997,2203
2025-05,maharashtra,osmanabad,192,2678,2870
2025-05,maharashtra,palghar,870,7594,8464
2025-05,maharashtra,pune,984,7838,8822
2025-05,maharashtra,raigad,366,4094,4460
2025-05,maharashtra,thane,3233,23714,26947
2025-05,mizoram,kolasib,76,414,490
2025-05,puducherry,puducherry,86,367,453
2025-05,punjab,amritsar,676,8369,9045
2025-05,punjab,bathinda,205,2125,2330
2025-05,punjab,ferozepur,37,339,376
2025-05,punjab,gurdaspur,154,1622,1776
2025-05,punjab,hoshiarpur,224,3050,3274
2025-05,punjab,ludhiana,487,6477,6964
2025-05,punjab,mansa,220,880,1100
2025-05,punjab,pathankot,204,1746,1950
2025-05,punjab,patiala,1448,7978,9426
2025-05,punjab,sas nagar (mohali),304,3347,3651
2025-05,punjab,tarn taran,51,781,832
2025-05,rajasthan,ajmer,951,9042,9993
2025-05,rajasthan,alwar,298,2816,3114
2025-05,rajasthan,baran,210,1818,2028
2025-05,rajasthan,bhilwara,410,4354,4764
2025-05,rajasthan,bikaner,346,4564,4910
2025-05,rajasthan,bundi,204,2028,2232
2025-05,rajasthan,churu,336,2738,3074
2025-05,rajasthan,ganganagar,314,3818,4132
2025-05,rajasthan,hanumangarh,46,510,556
2025-05,rajasthan,jaipur,2298,21068,23366
2025-05,rajasthan,jhunjhunun,174,1562,1736
2025-05,rajasthan,jodhpur,174,2346,2520
2025-05,rajasthan,kota,298,2100,2398
2025-05,rajasthan,nagaur,342,3041,3383
2025-05,rajasthan,pali,118,1146,1264
2025-05,rajasthan,sawai madhopur,254,2236,2490
2025-05,rajasthan,udaipur,72,872,944
2025-05,tamil nadu,coimbatore,130,1072,1202
2025-05,tamil nadu,kancheepuram,894,5294,6188
2025-05,tamil nadu,madurai,320,1758,2078
2025-05,tamil nadu,tiruchirappalli,52,334,386
2025-05,tamil nadu,tiruppur,693,4014,4707
2025-05,tamil nadu,tiruvallur,854,5954,6808
2025-05,tamil nadu,tiruvannamalai,272,1446,1718
2025-05,tamil nadu,vellore,216,1278,1494
2025-05,tamil nadu,viluppuram,65,457,522
2025-05,tamil nadu,virudhunagar,462,1904,2366
2025-05,telangana,hyderabad,2278,11259,13537
2025-05,telangana,jogulamba gadwal,596,2060,2656
2025-05,telangana,k.v. rangareddy,380,1802,2182
2025-05,telangana,kamareddy,87,486,573
2025-05,telangana,mahabubnagar,280,1384,1664
2025-05,telangana,nirmal,218,936,1154
2025-05,telangana,nizamabad,488,2510,2998
2025-05,telangana,siddipet,48,368,416
2025-05,telangana,warangal urban,266,2060,2326
2025-05,uttar pradesh,agra,1174,8346,9520
2025-05,uttar pradesh,amroha,372,3326,3698
2025-05,uttar pradesh,bareilly,1357,13248,14605
2025-05,uttar pradesh,bijnor,1431,16046,17477
2025-05,uttar pradesh,bulandshahr,858,6034,6892
2025-05,uttar pradesh,etawah,646,4404,5050
2025-05,uttar pradesh,gautam buddha nagar,2389,21475,23864
2025-05,uttar pradesh,ghaziabad,1354,11888,13242
2025-05,uttar pradesh,hapur,1026,7872,8898
2025-05,uttar pradesh,jhansi,159,1420,1579
2025-05,uttar pradesh,kanpur nagar,796,11238,12034
2025-05,uttar pradesh,lucknow,1020,10774,11794
2025-05,uttar pradesh,meerut,898,8592,9490
2025-05,uttar pradesh,moradabad,1184,9688,10872
2025-05,uttar pradesh,muzaffarnagar,263,1993,2256
2025-05,uttar pradesh,pilibhit,966,9678,10644
2025-05,uttar pradesh,saharanpur,1414,14066,15480
2025-05,uttar pradesh,shamli,696,5294,5990
2025-05,uttarakhand,champawat,81,607,688
2025-05,uttarakhand,dehradun,907,9290,10197
2025-05,uttarakhand,nainital,500,3370,3870
2025-05,uttarakhand,udham singh nagar,1613,10358,11971
2025-05,west bengal,birbhum,432,3553,3985
2025-05,west bengal,dakshin dinajpur,210,1988,2198
2025-05,west bengal,malda,1092,9772,10864
2025-05,west bengal,murshidabad,1253,12746,13999
2025-05,west bengal,north 24 parganas,150,1558,1708
2025-05,west bengal,purba medinipur,109,632,741
2025-05,west bengal,puruliya,417,3329,3746
2025-05,west bengal,south 24 parganas,1946,18175,20121
2025-05,west bengal,uttar dinajpur,1548,16312,17860
2025-06,andhra pradesh,alluri sitharama raju,29,138,167
2025-06,andhra pradesh,anakapalli,94,488,582
2025-06,andhra pradesh,anantapur,54,1132,1186
2025-06,andhra pradesh,ananthapuramu,943,3556,4499
2025-06,andhra pradesh,annamayya,1335,4336,5671
2025-06,andhra pradesh,bapatla,211,967,1178
2025-06,andhra pradesh,chittoor,2064,8992,11056
2025-06,andhra pradesh,cuddapah,499,2827,3326
2025-06,andhra pradesh,dr. b. r. ambedkar konaseema,86,497,583
2025-06,andhra pradesh,east godavari,1192,6888,8080
2025-06,andhra pradesh,eluru,312,1326,1638
2025-06,andhra pradesh,guntur,2318,12925,15243
2025-06,andhra pradesh,kakinada,353,1842,2195
2025-06,andhra pradesh,krishna,407,2527,2934
2025-06,andhra pradesh,kurnool,2661,12014,14675
2025-06,andhra pradesh,n. t. r,667,3365,4032
2025-06,andhra pradesh,nandyal,1074,4087,5161
2025-06,andhra pradesh,palnadu,1146,4820,5966
2025-06,andhra pradesh,parvathipuram manyam,74,338,412
2025-06,andhra pradesh,prakasam,506,2849,3355
2025-06,andhra pradesh,sri sathya sai,322,1171,1493
2025-06,andhra pradesh,srikakulam,2014,8577,10591
2025-06,andhra pradesh,tirupati,315,1643,1958
2025-06,andhra pradesh,visakhapatnam,1975,9865,11840
2025-06,andhra pradesh,vizianagaram,600,3610,4210
2025-06,andhra pradesh,west godavari,1094,6640,7734
2025-06,andhra pradesh,y. s. r,479,2074,2553
2025-06,assam,dhubri,184,2014,2198
2025-06,assam,kokrajhar,11,236,247
2025-06,chandigarh,chandigarh,841,6796,7637
2025-06,chhattisgarh,balod,1068,9238,10306
2025-06,chhattisgarh,baloda bazar,1127,14918,16045
2025-06,chhattisgarh,balrampur,864,19022,19886
2025-06,chhattisgarh,bastar,840,6495,7335
2025-06,chhattisgarh,bilaspur,2463,29531,31994
2025-06,chhattisgarh,durg,1819,12266,14085
2025-06,chhattisgarh,janjgir-champa,689,7386,8075
2025-06,chhattisgarh,jashpur,1072,13854,14926
2025-06,chhattisgarh,kabeerdham,678,5150,5828
2025-06,chhattisgarh,kanker,149,1924,2073
2025-06,chhattisgarh,kawardha,1048,13860,14908
2025-06,chhattisgarh,kondagaon,1552,32332,33884
2025-06,chhattisgarh,korba,1427,16959,18386
2025-06,chhattisgarh,koriya,210,4940,5150
2025-06,chhattisgarh,mahasamund,3550,67874,71424
2025-06,chhattisgarh,mohla-manpur-ambagarh chouki,499,2040,2539
2025-06,chhattisgarh,mungeli,549,5769,6318
2025-06,chhattisgarh,raipur,3058,24546,27604
2025-06,chhattisgarh,rajnandgaon,3695,54262,57957
2025-06,chhattisgarh,surguja,958,9762,10720
2025-06,delhi,central delhi,316,3084,3400
2025-06,delhi,east delhi,3088,20071,23159
2025-06,delhi,new delhi,44,321,365
2025-06,delhi,north delhi,1040,9044,10084
2025-06,delhi,north east delhi,3014,14849,17863
2025-06,delhi,north west delhi,1839,13650,15489
2025-06,delhi,shahdara,510,3148,3658
2025-06,delhi,south delhi,2237,20233,22470
2025-06,delhi,south west delhi,842,6079,6921
2025-06,delhi,west delhi,3933,32356,36289
2025-06,gujarat,ahmedabad,1309,9192,10501
2025-06,gujarat,banaskantha,1023,5066,6089
2025-06,gujarat,bharuch,416,2654,3070
2025-06,gujarat,gandhinagar,538,4076,4614
2025-06,gujarat,kachchh,396,4006,4402
2025-06,gujarat,mahesana,326,2524,2850
2025-06,gujarat,narmada,390,1360,1750
2025-06,gujarat,rajkot,656,8650,9306
2025-06,gujarat,surat,2294,20497,22791
2025-06,gujarat,valsad,510,1544,2054
2025-06,haryana,ambala,508,3511,4019
2025-06,haryana,bhiwani,128,1128,1256
2025-06,haryana,charkhi dadri,116,729,845
2025-06,haryana,faridabad,2670,19819,22489
2025-06,haryana,fatehabad,579,5573,6152
2025-06,haryana,gurgaon,605,5740,6345
2025-06,haryana,hisar,392,3728,4120
2025-06,haryana,jhajjar,321,3289,3610
2025-06,haryana,jind,946,7564,8510
2025-06,haryana,kaithal,533,5141,5674
2025-06,haryana,karnal,785,4536,5321
2025-06,haryana,mahendragarh,123,1130,1253
2025-06,haryana,mewat,431,4655,5086
2025-06,haryana,palwal,1193,10108,11301
2025-06,haryana,panchkula,337,1777,2114
2025-06,haryana,rewari,676,4310,4986
2025-06,haryana,rohtak,326,1776,2102
2025-06,haryana,sirsa,534,5966,6500
2025-06,haryana,sonipat,922,6678,7600
2025-06,haryana,yamuna nagar,273,1763,2036
2025-06,himachal pradesh,bilaspur,19,124,143
2025-06,himachal pradesh,sirmaur,343,3402,3745
2025-06,jammu and kashmir,anantnag,181,1129,1310
2025-06,jammu and kashmir,baramula,312,2172,2484
2025-06,jammu and kashmir,budgam,398,1014,1412
2025-06,jammu and kashmir,jammu,22,326,348
2025-06,jammu and kashmir,kishtwar,161,727,888
2025-06,jammu and kashmir,kupwara,226,1618,1844
2025-06,jammu and kashmir,pulwama,382,2296,2678
2025-06,jammu and kashmir,punch,292,1310,1602
2025-06,jammu and kashmir,samba,40,502,542
2025-06,karnataka,bagalkot,392,1045,1437
2025-06,karnataka,ballari,350,1129,1479
2025-06,karnataka,bangalore rural,1370,7924,9294
2025-06,karnataka,belagavi,309,1041,1350
2025-06,karnataka,bengaluru,3500,21742,25242
2025-06,karnataka,bidar,391,2079,2470
2025-06,karnataka,chikkamagaluru,239,1146,1385
2025-06,karnataka,chitradurga,317,1674,1991
2025-06,karnataka,davangere,629,2970,3599
2025-06,karnataka,gadag,513,1008,1521
2025-06,karnataka,hassan,529,2779,3308
2025-06,karnataka,haveri,2012,7502,9514
2025-06,karnataka,kalaburagi,1115,3620,4735
2025-06,karnataka,kolar,80,483,563
2025-06,karnataka,koppal,1638,3853,5491
2025-06,karnataka,mandya,500,3040,3540
2025-06,karnataka,mysuru,95,373,468
2025-06,karnataka,raichur,393,990,1383
2025-06,karnataka,ramanagar,325,2111,2436
2025-06,karnataka,tumakuru,171,617,788
2025-06,karnataka,vijayanagara,37,164,201
2025-06,karnataka,vijayapura,448,1336,1784
2025-06,karnataka,yadgir,202,500,702
2025-06,madhya pradesh,agar malwa,54,570,624
2025-06,madhya pradesh,anuppur,116,492,608
2025-06,madhya pradesh,ashok nagar,441,2918,3359
2025-06,madhya pradesh,balaghat,2576,9772,12348
2025-06,madhya pradesh,barwani,575,2396,2971
2025-06,madhya pradesh,betul,1312,3358,4670
2025-06,madhya pradesh,bhind,878,3866,4744
2025-06,madhya pradesh,bhopal,669,5140,5809
2025-06,madhya pradesh,burhanpur,302,1442,1744
2025-06,madhya pradesh,chhatarpur,780,4293,5073
2025-06,madhya pradesh,chhindwara,2693,8367,11060
2025-06,madhya pradesh,damoh,1358,7028,8386
2025-06,madhya pradesh,dhar,990,4438,5428
2025-06,madhya pradesh,dindori,2110,6412,8522
2025-06,madhya pradesh,guna,869,6572,7441
2025-06,madhya pradesh,gwalior,1049,7398,8447
2025-06,madhya pradesh,harda,88,452,540
2025-06,madhya pradesh,indore,2944,17977,20921
2025-06,madhya pradesh,jabalpur,308,2652,2960
2025-06,madhya pradesh,mandla,1808,5158,6966
2025-06,madhya pradesh,mandsaur,254,940,1194
2025-06,madhya pradesh,morena,770,3356,4126
2025-06,madhya pradesh,neemuch,280,1792,2072
2025-06,madhya pradesh,panna,326,1492,1818
2025-06,madhya pradesh,raisen,274,1045,1319
2025-06,madhya pradesh,rajgarh,325,1044,1369
2025-06,madhya pradesh,ratlam,1544,6866,8410
2025-06,madhya pradesh,rewa,390,2620,3010
2025-06,madhya pradesh,sagar,692,4197,4889
2025-06,madhya pradesh,satna,1164,3768,4932
2025-06,madhya pradesh,sehore,848,3141,3989
2025-06,madhya pradesh,seoni,1184,4218,5402
2025-06,madhya pradesh,shahdol,1358,5471,6829
2025-06,madhya pradesh,shajapur,680,2850,3530
2025-06,madhya pradesh,sheopur,1150,5812,6962
2025-06,madhya pradesh,sidhi,1346,5951,7297
2025-06,madhya pradesh,singrauli,538,1968,2506
2025-06,madhya pradesh,ujjain,803,4608,5411
2025-06,madhya pradesh,umaria,517,1964,2481
2025-06,madhya pradesh,vidisha,851,2862,3713
2025-06,maharashtra,akola,123,792,915
2025-06,maharashtra,amravati,336,1670,2006
2025-06,maharashtra,aurangabad,808,4542,5350
2025-06,maharashtra,beed,369,2267,2636
2025-06,maharashtra,bhandara,66,568,634
2025-06,maharashtra,chandrapur,187,1714,1901
2025-06,maharashtra,gadchiroli,98,1126,1224
2025-06,maharashtra,gondiya,423,3493,3916
2025-06,maharashtra,jalgaon,246,1988,2234
2025-06,maharashtra,mumbai city,135,1012,1147
2025-06,maharashtra,mumbai suburban,577,4274,4851
2025-06,maharashtra,nagpur,979,6422,7401
2025-06,maharashtra,nandurbar,327,2545,2872
2025-06,maharashtra,nashik,1036,6820,7856
2025-06,maharashtra,pune,1940,14856,16796
2025-06,maharashtra,raigad,226,2237,2463
2025-06,maharashtra,sangli,218,2118,2336
2025-06,maharashtra,thane,4415,33224,37639
2025-06,maharashtra,washim,104,914,1018
2025-06,maharashtra,yavatmal,198,1709,1907
2025-06,mizoram,champhai,104,1580,1684
2025-06,mizoram,lawngtlai,58,930,988
2025-06,punjab,amritsar,764,10554,11318
2025-06,punjab,fazilka,84,1070,1154
2025-06,punjab,gurdaspur,306,3434,3740
2025-06,punjab,hoshiarpur,236,2910,3146
2025-06,punjab,ludhiana,361,3933,4294
2025-06,punjab,mansa,122,1610,1732
2025-06,punjab,moga,150,1774,1924
2025-06,punjab,pathankot,166,1652,1818
2025-06,punjab,patiala,944,6456,7400
2025-06,punjab,sas nagar (mohali),582,6098,6680
2025-06,rajasthan,ajmer,1126,9338,10464
2025-06,rajasthan,banswara,275,2270,2545
2025-06,rajasthan,baran,127,979,1106
2025-06,rajasthan,barmer,462,2978,3440
2025-06,rajasthan,bikaner,246,2525,2771
2025-06,rajasthan,churu,220,1662,1882
2025-06,rajasthan,dholpur,755,3915,4670
2025-06,rajasthan,ganganagar,238,2252,2490
2025-06,rajasthan,hanumangarh,398,3915,4313
2025-06,rajasthan,jaipur,1118,11069,12187
2025-06,rajasthan,jodhpur,446,4754,5200
2025-06,rajasthan,pali,112,1115,1227
2025-06,rajasthan,pratapgarh,390,3586,3976
2025-06,rajasthan,rajsamand,150,1644,1794
2025-06,rajasthan,sikar,372,2722,3094
2025-06,rajasthan,udaipur,354,3936,4290
2025-06,tamil nadu,chennai,352,2780,3132
2025-06,tamil nadu,coimbatore,184,1668,1852
2025-06,tamil nadu,madurai,316,1750,2066
2025-06,tamil nadu,tiruvallur,334,2804,3138
2025-06,tamil nadu,virudhunagar,234,993,1227
2025-06,telangana,adilabad,474,2480,2954
2025-06,telangana,hyderabad,2931,18094,21025
2025-06,telangana,jagitial,43,352,395
2025-06,telangana,jogulamba gadwal,744,2984,3728
2025-06,telangana,k.v. rangareddy,916,5061,5977
2025-06,telangana,kamareddy,89,585,674
2025-06,telangana,komaram bheem,222,1344,1566
2025-06,telangana,mahabubnagar,798,3212,4010
2025-06,telangana,medchal-malkajgiri,716,3311,4027
2025-06,telangana,nirmal,252,1184,1436
2025-06,telangana,nizamabad,160,742,902
2025-06,telangana,sangareddy,477,2372,2849
2025-06,telangana,siddipet,206,966,1172
2025-06,telangana,vikarabad,768,3058,3826
2025-06,uttar pradesh,bara banki,284,5898,6182
2025-06,uttar pradesh,bareilly,546,6684,7230
2025-06,uttar pradesh,bijnor,686,7996,8682
2025-06,uttar pradesh,bulandshahr,718,8980,9698
2025-06,uttar pradesh,ghaziabad,1713,18975,20688
2025-06,uttar pradesh,lucknow,261,3567,3828
2025-06,uttar pradesh,mathura,290,3366,3656
2025-06,uttar pradesh,mirzapur,458,5731,6189
2025-06,uttar pradesh,moradabad,1776,20994,22770
2025-06,uttar pradesh,muzaffarnagar,592,6770,7362
2025-06,uttar pradesh,rampur,1337,21550,22887
2025-06,uttar pradesh,saharanpur,354,4674,5028
2025-06,uttar pradesh,shahjahanpur,1044,19660,20704
2025-06,uttarakhand,dehradun,224,3428,3652
2025-06,uttarakhand,haridwar,353,3176,3529
2025-06,uttarakhand,tehri garhwal,242,2224,2466
2025-06,uttarakhand,udham singh nagar,1407,10884,12291
2025-06,west bengal,barddhaman,39,544,583
2025-06,west bengal,birbhum,242,2874,3116
2025-06,west bengal,cooch behar,450,4032,4482
2025-06,west bengal,malda,1892,16274,18166
