year_month,state_final,district_norm,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-09,bihar,monghyr,8,8,0,16
2025-09,bihar,munger,640,964,11,1615
2025-09,bihar,muzaffarpur,2712,2717,15,5444
2025-09,bihar,nalanda,912,2759,16,3687
2025-09,bihar,nawada,724,3664,68,4456
2025-09,bihar,pashchimchamparan,21,12,0,33
2025-09,bihar,patna,1692,4715,18,6425
2025-09,bihar,purbachamparan,16,30,0,46
2025-09,bihar,purnea,60,39,0,99
2025-09,bihar,purnia,3333,2028,14,5375
2025-09,bihar,rohtas,847,1800,11,2658
2025-09,bihar,saharsa,1673,1812,39,3524
2025-09,bihar,samastipur,3151,2323,31,5505
2025-09,bihar,samstipur,12,12,0,24
2025-09,bihar,saran,1970,4355,44,6369
2025-09,bihar,sheikhpura,462,761,4,1227
2025-09,bihar,sheikpura,4,7,0,11
2025-09,bihar,sheohar,498,334,4,836
2025-09,bihar,sitamarhi,2426,2048,127,4601
2025-09,bihar,siwan,1652,2631,14,4297
2025-09,bihar,supaul,1425,1155,54,2634
2025-09,bihar,vaishali,2562,3417,5,5984
2025-09,bihar,westchamparan,2356,3709,133,6198
2025-09,chandigarh,chandigarh,775,79,1,855
2025-09,chandigarh,rupnagar,1,0,0,1
2025-09,chhattisgarh,balod,507,25,1,533
2025-09,chhattisgarh,balodabazar,1207,194,8,1409
2025-09,chhattisgarh,balrampur,1275,403,1,1679
2025-09,chhattisgarh,bastar,1151,366,5,1522
2025-09,chhattisgarh,bemetara,654,88,2,744
2025-09,chhattisgarh,bijapur,377,237,196,810
2025-09,chhattisgarh,bilaspur,2203,375,0,2578
2025-09,chhattisgarh,dakshinbastardantewada,101,34,2,137
2025-09,chhattisgarh,dantewada,51,27,0,78
2025-09,chhattisgarh,dhamtari,614,26,2,642
2025-09,chhattisgarh,durg,946,162,12,1120
2025-09,chhattisgarh,gariyaband,446,75,2,523
2025-09,chhattisgarh,gaurela-pendra-marwahi,41,8,0,49
2025-09,chhattisgarh,janjgir-champa,1375,241,1,1617
2025-09,chhattisgarh,janjgirchampa,10,0,0,10
2025-09,chhattisgarh,jashpur,551,126,0,677
2025-09,chhattisgarh,kabeerdham,276,25,0,301
2025-09,chhattisgarh,kanker,464,102,0,566
2025-09,chhattisgarh,kawardha,585,74,0,659
2025-09,chhattisgarh,khairagarhchhuikhadangandai,45,15,0,60
2025-09,chhattisgarh,kondagaon,612,267,1,880
2025-09,chhattisgarh,korba,1088,159,3,1250
2025-09,chhattisgarh,koriya,431,148,0,579
2025-09,chhattisgarh,mahasamund,998,194,2,1194
2025-09,chhattisgarh,manendragarh–chirmiri–bharatpur,58,35,0,93
2025-09,chhattisgarh,mohalla-manpur-ambagarhchowki,1,0,0,1
2025-09,chhattisgarh,mohla-manpur-ambagarhchouki,49,35,2,86
2025-09,chhattisgarh,mungeli,801,112,1,914
2025-09,chhattisgarh,narayanpur,140,102,0,242
2025-09,chhattisgarh,raigarh,1282,166,3,1451
2025-09,chhattisgarh,raipur,1877,209,0,2086
2025-09,chhattisgarh,rajnandgaon,1061,132,1,1194
2025-09,chhattisgarh,sakti,135,40,2,177
2025-09,chhattisgarh,sarangarh-bilaigarh,22,4,3,29
2025-09,chhattisgarh,sukma,146,150,11,307
2025-09,chhattisgarh,surajpur,823,177,2,1002
2025-09,chhattisgarh,surguja,1128,225,0,1353
2025-09,chhattisgarh,uttarbastarkanker,207,46,0,253
2025-09,dadra and nagar haveli and daman and diu,dadra&nagarhaveli,9,2,0,11
2025-09,dadra and nagar haveli and daman and diu,dadraandnagarhaveli,351,44,3,398
2025-09,dadra and nagar haveli and daman and diu,daman,36,6,2,44
2025-09,dadra and nagar haveli and daman and diu,diu,23,1,3,27
2025-09,delhi,centraldelhi,494,195,36,725
2025-09,delhi,eastdelhi,1578,459,22,2059
2025-09,delhi,najafgarh,9,5,0,14
2025-09,delhi,newdelhi,40,16,4,60
2025-09,delhi,northdelhi,631,250,11,892
2025-09,delhi,northeast,452,163,2,617
2025-09,delhi,northeast*,2,0,0,2
2025-09,delhi,northeastdelhi,1472,614,6,2092
2025-09,delhi,northwestdelhi,2929,877,74,3880
2025-09,delhi,shahdara,121,55,8,184
2025-09,delhi,southdelhi,2445,761,73,3279
2025-09,delhi,southeastdelhi,12,4,1,17
2025-09,delhi,southwestdelhi,1772,505,64,2341
2025-09,delhi,westdelhi,2027,571,46,2644
2025-09,goa,bardez,1,0,0,1
2025-09,goa,northgoa,410,64,40,514
2025-09,goa,southgoa,282,41,34,357
2025-09,gujarat,ahmadabad,231,115,0,346
2025-09,gujarat,ahmedabad,3946,2033,72,6051
2025-09,gujarat,amreli,893,226,35,1154
2025-09,gujarat,anand,1545,249,29,1823
2025-09,gujarat,arvalli,490,98,4,592
2025-09,gujarat,banaskantha,2591,2168,91,4850
2025-09,gujarat,bharuch,1178,121,8,1307
2025-09,gujarat,bhavnagar,2316,430,89,2835
2025-09,gujarat,botad,370,78,8,456
2025-09,gujarat,chhotaudepur,278,128,18,424
2025-09,gujarat,dahod,1358,1182,36,2576
2025-09,gujarat,devbhumidwarka,477,98,17,592
2025-09,gujarat,dohad,414,277,0,691
2025-09,gujarat,gandhinagar,941,184,46,1171
2025-09,gujarat,girsomnath,675,184,22,881
2025-09,gujarat,jamnagar,1253,242,25,1520
2025-09,gujarat,junagadh,1725,246,18,1989
2025-09,gujarat,kachchh,1221,530,45,1796
2025-09,gujarat,kheda,1620,502,73,2195
2025-09,gujarat,mahesana,1232,255,23,1510
2025-09,gujarat,mahisagar,547,83,19,649
2025-09,gujarat,morbi,638,141,49,828
2025-09,gujarat,narmada,470,35,1,506
2025-09,gujarat,navsari,736,59,6,801
2025-09,gujarat,panchmahals,1459,392,47,1898
2025-09,gujarat,patan,1184,396,71,1651
2025-09,gujarat,porbandar,404,73,20,497
2025-09,gujarat,rajkot,2225,651,50,2926
2025-09,gujarat,sabarkantha,1250,574,82,1906
2025-09,gujarat,surat,3848,1392,39,5279
2025-09,gujarat,surendranagar,1723,731,55,2509
2025-09,gujarat,tapi,918,116,7,1041
2025-09,gujarat,thedangs,361,73,3,437
2025-09,gujarat,vadodara,2210,744,82,3036
2025-09,gujarat,valsad,1455,373,13,1841
2025-09,haryana,ambala,699,40,1,740
2025-09,haryana,bhiwani,937,55,2,994
2025-09,haryana,charkhidadri,253,2,0,255
2025-09,haryana,faridabad,1712,486,34,2232
2025-09,haryana,fatehabad,572,35,5,612
2025-09,haryana,gurgaon,1395,311,53,1759
2025-09,haryana,hisar,1327,84,2,1413
2025-09,haryana,jhajjar,804,36,2,842
2025-09,haryana,jhajjar*,0,1,0,1
2025-09,haryana,jind,1245,29,0,1274
2025-09,haryana,kaithal,790,20,0,810
2025-09,haryana,karnal,1285,66,1,1352
2025-09,haryana,kurukshetra,639,23,0,662
2025-09,haryana,mahendragarh,783,56,1,840
2025-09,haryana,mewat,1281,117,3,1401
2025-09,haryana,palwal,1117,125,2,1244
2025-09,haryana,panchkula,308,31,0,339
2025-09,haryana,panipat,1076,108,6,1190
2025-09,haryana,rewari,630,62,2,694
2025-09,haryana,rohtak,829,47,1,877
2025-09,haryana,sirsa,811,66,0,877
2025-09,haryana,sonipat,1190,74,6,1270
2025-09,haryana,yamunanagar,975,46,2,1023
2025-09,himachal pradesh,bilaspur,254,3,0,257
2025-09,himachal pradesh,chamba,360,23,1,384
2025-09,himachal pradesh,hamirpur,271,4,0,275
2025-09,himachal pradesh,kangra,1190,35,6,1231
2025-09,himachal pradesh,kinnaur,38,13,0,51
2025-09,himachal pradesh,kullu,178,20,11,209
2025-09,himachal pradesh,lahul&spiti,13,0,0,13
2025-09,himachal pradesh,lahulandspiti,10,1,0,11
2025-09,himachal pradesh,mandi,669,17,3,689
2025-09,himachal pradesh,shimla,374,69,1,444
2025-09,himachal pradesh,sirmaur,480,30,2,512
2025-09,himachal pradesh,solan,303,29,0,332
2025-09,himachal pradesh,una,336,9,0,345
2025-09,jammu and kashmir,anantnag,861,104,1,966
2025-09,jammu and kashmir,badgam,473,85,0,558
2025-09,jammu and kashmir,bandipore,366,101,2,469
2025-09,jammu and kashmir,baramula,784,163,3,950
2025-09,jammu and kashmir,budgam,218,16,0,234
2025-09,jammu and kashmir,doda,270,145,0,415
2025-09,jammu and kashmir,ganderbal,246,27,0,273
2025-09,jammu and kashmir,jammu,1173,313,10,1496
2025-09,jammu and kashmir,kargil,102,40,0,142
2025-09,jammu and kashmir,kathua,475,91,0,566
2025-09,jammu and kashmir,kishtwar,181,45,1,227
2025-09,jammu and kashmir,kulgam,245,62,0,307
2025-09,jammu and kashmir,kupwara,672,161,0,833
2025-09,jammu and kashmir,leh,32,12,1,45
2025-09,jammu and kashmir,pulwama,457,40,0,497
2025-09,jammu and kashmir,punch,352,142,0,494
2025-09,jammu and kashmir,rajouri,513,166,0,679
2025-09,jammu and kashmir,ramban,204,132,0,336
2025-09,jammu and kashmir,reasi,242,113,0,355
2025-09,jammu and kashmir,samba,150,12,0,162
2025-09,jammu and kashmir,shupiyan,141,33,1,175
2025-09,jammu and kashmir,srinagar,1011,83,1,1095
2025-09,jammu and kashmir,udhampur,495,95,4,594
2025-09,jharkhand,bokaro,1061,845,4,1910
2025-09,jharkhand,chatra,954,760,3,1717
2025-09,jharkhand,deoghar,1050,993,16,2059
2025-09,jharkhand,dhanbad,1983,1346,11,3340
2025-09,jharkhand,dumka,827,963,8,1798
2025-09,jharkhand,eastsinghbhum,1572,808,10,2390
2025-09,jharkhand,garhwa,1431,565,0,1996
2025-09,jharkhand,garhwa*,87,28,0,115
2025-09,jharkhand,giridih,2033,1714,21,3768
2025-09,jharkhand,godda,995,765,1,1761
2025-09,jharkhand,gumla,1281,927,2,2210
2025-09,jharkhand,hazaribag,120,67,0,187
2025-09,jharkhand,hazaribagh,1234,717,0,1951
2025-09,jharkhand,jamtara,1140,424,1,1565
2025-09,jharkhand,khunti,376,320,9,705
2025-09,jharkhand,kodarma,59,48,0,107
2025-09,jharkhand,koderma,767,401,0,1168
2025-09,jharkhand,latehar,600,384,1,985
2025-09,jharkhand,lohardaga,388,277,1,666
2025-09,jharkhand,pakaur,105,67,0,172
2025-09,jharkhand,pakur,1005,662,5,1672
2025-09,jharkhand,palamau,78,23,0,101
2025-09,jharkhand,palamu,1933,642,18,2593
2025-09,jharkhand,pashchimisinghbhum,91,96,1,188
2025-09,jharkhand,purbisinghbhum,271,70,0,341
2025-09,jharkhand,ramgarh,581,392,4,977
2025-09,jharkhand,ranchi,1954,1079,8,3041
2025-09,jharkhand,sahebganj,977,893,9,1879
2025-09,jharkhand,sahibganj,53,68,0,121
2025-09,jharkhand,seraikela-kharsawan,820,436,3,1259
2025-09,jharkhand,simdega,622,288,0,910
2025-09,jharkhand,westsinghbhum,1122,579,12,1713
2025-09,karnataka,bagalkot,2055,384,34,2473
2025-09,karnataka,bagalkot*,77,8,0,85
2025-09,karnataka,ballari,893,114,24,1031
2025-09,karnataka,bangalore,1661,354,1,2016
2025-09,karnataka,bangalorerural,568,62,27,657
2025-09,karnataka,belagavi,2418,254,25,2697
2025-09,karnataka,belgaum,2097,363,1,2461
2025-09,karnataka,bellary,1407,285,0,1692
2025-09,karnataka,bengaluru,3557,1001,559,5117
2025-09,karnataka,bengalururural,0,1,0,1
2025-09,karnataka,bengalurusouth,1,0,2,3
2025-09,karnataka,bidar,1237,367,6,1610
2025-09,karnataka,bijapur,1375,440,1,1816
2025-09,karnataka,chamarajanagar,72,10,0,82
2025-09,karnataka,chamarajanagar*,8,0,0,8
2025-09,karnataka,chamrajanagar,594,88,8,690
2025-09,karnataka,chamrajnagar,96,13,0,109
2025-09,karnataka,chickmagalur,326,27,0,353
2025-09,karnataka,chikkaballapur,903,94,5,1002
2025-09,karnataka,chikkamagaluru,294,28,19,341
2025-09,karnataka,chikmagalur,37,3,0,40
2025-09,karnataka,chitradurga,1053,94,5,1152
2025-09,karnataka,dakshinakannada,1658,119,5,1782
2025-09,karnataka,davanagere,161,10,0,171
2025-09,karnataka,davangere,1316,111,9,1436
2025-09,karnataka,dharwad,1536,111,3,1650
2025-09,karnataka,gadag,1786,141,19,1946
2025-09,karnataka,gadag*,59,8,0,67
2025-09,karnataka,gulbarga,1151,235,0,1386
2025-09,karnataka,hasan,266,12,0,278
2025-09,karnataka,hassan,728,33,0,761
2025-09,karnataka,haveri,1233,118,22,1373
2025-09,karnataka,haveri*,30,1,0,31
2025-09,karnataka,kalaburagi,1093,215,10,1318
2025-09,karnataka,kodagu,262,20,12,294
2025-09,karnataka,kolar,1129,103,7,1239
2025-09,karnataka,koppal,1395,278,11,1684
2025-09,karnataka,mandya,832,45,1,878
2025-09,karnataka,mysore,739,63,1,803
2025-09,karnataka,mysuru,871,132,77,1080
2025-09,karnataka,raichur,2095,730,28,2853
2025-09,karnataka,ramanagar,950,255,4,1209
2025-09,karnataka,shimoga,648,58,0,706
2025-09,karnataka,shivamogga,636,75,0,711
2025-09,karnataka,tumakuru,811,48,24,883
2025-09,karnataka,tumkur,798,57,0,855
2025-09,karnataka,udupi,1413,61,9,1483
2025-09,karnataka,uttarakannada,906,67,4,977
2025-09,karnataka,vijayanagara,662,106,22,790
2025-09,karnataka,vijayapura,1785,364,29,2178
2025-09,karnataka,yadgir,1604,500,11,2115
2025-09,kerala,alappuzha,713,275,5,993
2025-09,kerala,ernakulam,1092,559,17,1668
2025-09,kerala,idukki,415,94,1,510
2025-09,kerala,kannur,1039,553,33,1625
2025-09,kerala,kasaragod,662,239,0,901
2025-09,kerala,kasargod,64,13,0,77
2025-09,kerala,kollam,1069,322,24,1415
2025-09,kerala,kottayam,690,221,4,915
2025-09,kerala,kozhikode,1208,606,11,1825
2025-09,kerala,malappuram,2367,1187,31,3585
2025-09,kerala,palakkad,1208,433,3,1644
2025-09,kerala,pathanamthitta,413,142,14,569
2025-09,kerala,thiruvananthapuram,1239,404,14,1657
2025-09,kerala,thrissur,1184,538,19,1741
2025-09,kerala,wayanad,296,75,3,374
2025-09,ladakh,kargil,101,44,0,145
2025-09,ladakh,leh,23,2,5,30
2025-09,lakshadweep,lakshadweep,60,4,0,64
2025-09,madhya pradesh,agarmalwa,392,186,5,583
2025-09,madhya pradesh,alirajpur,481,729,15,1225
2025-09,madhya pradesh,anuppur,542,117,0,659
2025-09,madhya pradesh,ashoknagar,1537,604,7,2148
2025-09,madhya pradesh,balaghat,1901,205,1,2107
2025-09,madhya pradesh,barwani,2115,1441,92,3648
2025-09,madhya pradesh,betul,1815,413,18,2246
2025-09,madhya pradesh,bhind,1435,948,108,2491
2025-09,madhya pradesh,bhopal,3101,458,18,3577
2025-09,madhya pradesh,burhanpur,737,370,12,1119
2025-09,madhya pradesh,chhatarpur,2816,1375,24,4215
2025-09,madhya pradesh,chhindwara,2443,288,14,2745
2025-09,madhya pradesh,damoh,1802,399,3,2204
2025-09,madhya pradesh,datia,1388,721,7,2116
2025-09,madhya pradesh,dewas,1737,758,11,2506
2025-09,madhya pradesh,dhar,1993,1123,12,3128
2025-09,madhya pradesh,dindori,762,111,0,873
2025-09,madhya pradesh,eastnimar,686,574,1,1261
2025-09,madhya pradesh,guna,2653,878,4,3535
2025-09,madhya pradesh,gwalior,2608,1077,30,3715
2025-09,madhya pradesh,harda,666,203,2,871
2025-09,madhya pradesh,harda*,221,63,0,284
2025-09,madhya pradesh,hoshangabad,2154,329,0,2483
2025-09,madhya pradesh,indore,3434,1158,139,4731
2025-09,madhya pradesh,jabalpur,3260,674,2,3936
2025-09,madhya pradesh,jhabua,1716,1543,18,3277
2025-09,madhya pradesh,katni,2223,670,7,2900
2025-09,madhya pradesh,khandwa,731,385,1,1117
2025-09,madhya pradesh,khargone,2219,1066,87,3372
2025-09,madhya pradesh,maihar,118,8,4,130
2025-09,madhya pradesh,mandla,1298,117,0,1415
2025-09,madhya pradesh,mandsaur,1547,323,3,1873
2025-09,madhya pradesh,mauganj,127,21,1,149
2025-09,madhya pradesh,morena,2231,1311,66,3608
2025-09,madhya pradesh,narmadapuram,243,28,2,273
2025-09,madhya pradesh,narsimhapur,386,100,0,486
2025-09,madhya pradesh,narsinghpur,1438,528,31,1997
2025-09,madhya pradesh,neemuch,1093,355,2,1450
2025-09,madhya pradesh,niwari,29,5,0,34
2025-09,madhya pradesh,pandhurna,14,1,1,16
2025-09,madhya pradesh,panna,2714,916,17,3647
2025-09,madhya pradesh,raisen,2252,589,10,2851
2025-09,madhya pradesh,rajgarh,1685,679,4,2368
2025-09,madhya pradesh,ratlam,1847,637,6,2490
2025-09,madhya pradesh,rewa,3014,622,1,3637
2025-09,madhya pradesh,sagar,3017,658,12,3687
2025-09,madhya pradesh,satna,3932,765,5,4702
2025-09,madhya pradesh,sehore,993,312,4,1309
2025-09,madhya pradesh,seoni,2063,234,0,2297
2025-09,madhya pradesh,shahdol,1270,341,11,1622
2025-09,madhya pradesh,shajapur,1499,484,8,1991
2025-09,madhya pradesh,sheopur,676,718,50,1444
2025-09,madhya pradesh,shivpuri,2330,1770,17,4117
2025-09,madhya pradesh,sidhi,1652,298,4,1954
2025-09,madhya pradesh,singrauli,1673,318,7,1998
2025-09,madhya pradesh,tikamgarh,1706,683,3,2392
2025-09,madhya pradesh,ujjain,3626,695,6,4327
2025-09,madhya pradesh,umaria,1452,417,5,1874
2025-09,madhya pradesh,vidisha,2295,709,17,3021
2025-09,madhya pradesh,westnimar,228,54,4,286
2025-09,maharashtra,ahmadnagar,2167,1260,33,3460
2025-09,maharashtra,ahmednagar,56,26,0,82
2025-09,maharashtra,akola,1261,241,0,1502
2025-09,maharashtra,amravati,1841,431,19,2291
2025-09,maharashtra,aurangabad,3457,1519,2,4978
2025-09,maharashtra,beed,1545,741,25,2311
2025-09,maharashtra,bhandara,596,36,2,634
2025-09,maharashtra,bid,137,62,0,199
2025-09,maharashtra,buldana,389,67,0,456
2025-09,maharashtra,buldhana,1758,456,19,2233
2025-09,maharashtra,chandrapur,1204,113,26,1343
2025-09,maharashtra,chatrapatisambhajinagar,34,28,2,64
2025-09,maharashtra,chhatrapatisambhajinagar,148,171,3,322
2025-09,maharashtra,dharashiv,28,14,0,42
2025-09,maharashtra,dhule,2028,2152,26,4206
2025-09,maharashtra,gadchiroli,815,148,7,970
2025-09,maharashtra,gondia,10,1,0,11
2025-09,maharashtra,gondiya,1022,58,2,1082
2025-09,maharashtra,gondiya*,18,1,0,19
2025-09,maharashtra,hingoli,1009,352,31,1392
2025-09,maharashtra,hingoli*,1,0,0,1
2025-09,maharashtra,jalgaon,3346,1387,25,4758
2025-09,maharashtra,jalna,1723,504,6,2233
2025-09,maharashtra,kolhapur,1989,470,5,2464
2025-09,maharashtra,latur,1719,695,30,2444
2025-09,maharashtra,mumbai,2758,1496,11,4265
2025-09,maharashtra,mumbai(suburban),95,26,0,121
2025-09,maharashtra,mumbaicity,609,188,10,807
2025-09,maharashtra,mumbaisuburban,2283,848,26,3157
2025-09,maharashtra,nagpur,3027,501,33,3561
2025-09,maharashtra,nanded,2729,968,10,3707
2025-09,maharashtra,nandurbar,2041,854,63,2958
2025-09,maharashtra,nandurbar*,45,19,1,65
2025-09,maharashtra,nashik,4980,2054,32,7066
2025-09,maharashtra,osmanabad,971,332,0,1303
2025-09,maharashtra,palghar,1966,983,47,2996
2025-09,maharashtra,parbhani,1476,446,4,1926
2025-09,maharashtra,pune,5891,1905,81,7877
2025-09,maharashtra,raigad,496,139,9,644
2025-09,maharashtra,raigarh,1475,395,0,1870
2025-09,maharashtra,raigarh(mh),21,9,0,30
2025-09,maharashtra,ratnagiri,665,102,3,770
2025-09,maharashtra,sangli,1434,658,21,2113
2025-09,maharashtra,satara,1074,221,26,1321
2025-09,maharashtra,sindhudurg,344,21,1,366
2025-09,maharashtra,solapur,2315,1054,20,3389
2025-09,maharashtra,thane,5713,3003,64,8780
2025-09,maharashtra,wardha,679,41,1,721
2025-09,maharashtra,washim,691,113,11,815
2025-09,maharashtra,washim*,9,2,0,11
2025-09,maharashtra,yavatmal,1749,440,16,2205
2025-09,manipur,bishnupur,136,178,8,322
2025-09,manipur,chandel,109,244,2,355
2025-09,manipur,churachandpur,238,400,12,650
2025-09,manipur,imphaleast,151,154,1,306
2025-09,manipur,imphalwest,146,152,3,301
2025-09,manipur,jiribam,19,24,0,43
2025-09,manipur,kakching,12,25,1,38
2025-09,manipur,pherzawl,1,6,0,7
2025-09,manipur,senapati,252,292,1,545
2025-09,manipur,tamenglong,81,200,2,283
2025-09,manipur,thoubal,125,169,1,295
2025-09,manipur,ukhrul,91,148,1,240
2025-09,meghalaya,easternwestkhasihills,1,102,2,105
2025-09,meghalaya,eastgarohills,136,464,185,785
2025-09,meghalaya,eastjaintiahills,64,173,171,408
2025-09,meghalaya,eastkhasihills,406,1031,885,2322
2025-09,meghalaya,northgarohills,107,332,37,476
2025-09,meghalaya,ribhoi,167,376,261,804
2025-09,meghalaya,southgarohills,81,486,166,733
2025-09,meghalaya,southwestgarohills,223,176,104,503
2025-09,meghalaya,southwestkhasihills,55,86,109,250
2025-09,meghalaya,westgarohills,439,527,168,1134
2025-09,meghalaya,westjaintiahills,200,498,295,993
2025-09,meghalaya,westkhasihills,207,496,323,1026
2025-09,mizoram,aizawl,262,92,11,365
2025-09,mizoram,champhai,117,38,0,155
2025-09,mizoram,hnahthial,1,0,0,1
2025-09,mizoram,khawzawl,3,4,0,7
2025-09,mizoram,kolasib,53,13,8,74
2025-09,mizoram,lawngtlai,144,97,13,254
2025-09,mizoram,lunglei,78,20,1,99
2025-09,mizoram,mamit,46,9,0,55
2025-09,mizoram,mammit,16,3,0,19
2025-09,mizoram,saiha,117,28,1,146
2025-09,mizoram,saitual,0,0,1,1
2025-09,mizoram,serchhip,33,7,2,42
2025-09,nagaland,chumukedima,7,13,19,39
2025-09,nagaland,dimapur,121,210,22,353
2025-09,nagaland,kiphire,44,148,9,201
2025-09,nagaland,kohima,140,231,13,384
2025-09,nagaland,longleng,17,82,7,106
2025-09,nagaland,meluri,1,2,1,4
2025-09,nagaland,mokokchung,31,88,13,132
2025-09,nagaland,mon,130,225,30,385
2025-09,nagaland,niuland,5,10,1,16
2025-09,nagaland,noklak,4,18,5,27
2025-09,nagaland,peren,47,90,12,149
2025-09,nagaland,phek,50,174,8,232
2025-09,nagaland,shamator,2,145,9,156
2025-09,nagaland,tseminyu,2,4,3,9
2025-09,nagaland,tuensang,73,138,8,219
2025-09,nagaland,wokha,44,145,7,196
2025-09,nagaland,zunheboto,27,88,11,126
2025-09,odisha,angul,1188,199,2,1389
2025-09,odisha,anugul,79,14,0,93
2025-09,odisha,balangir,1923,428,1,2352
2025-09,odisha,baleshwar,406,106,0,512
2025-09,odisha,baleswar,2177,465,2,2644
2025-09,odisha,bargarh,1908,362,0,2270
2025-09,odisha,baudh,57,17,0,74
2025-09,odisha,bhadrak,1646,562,0,2208
2025-09,odisha,boudh,556,92,0,648
2025-09,odisha,cuttack,1747,480,4,2231
2025-09,odisha,debagarh,303,36,2,341
2025-09,odisha,dhenkanal,1063,266,0,1329
2025-09,odisha,gajapati,806,165,2,973
2025-09,odisha,ganjam,2524,425,2,2951
2025-09,odisha,jagatsinghapur,747,124,0,871
2025-09,odisha,jagatsinghpur,176,28,0,204
2025-09,odisha,jajapur,771,225,0,996
2025-09,odisha,jajpur,707,224,3,934
2025-09,odisha,jharsuguda,427,30,0,457
2025-09,odisha,kalahandi,1563,488,8,2059
2025-09,odisha,kandhamal,1362,226,0,1588
2025-09,odisha,kendrapara,1205,353,1,1559
2025-09,odisha,kendujhar,1866,491,3,2360
2025-09,odisha,khorda,1282,255,4,1541
2025-09,odisha,khordha,370,64,0,434
2025-09,odisha,koraput,1735,608,0,2343
2025-09,odisha,malkangiri,1383,290,1,1674
2025-09,odisha,mayurbhanj,3040,878,4,3922
2025-09,odisha,nabarangapur,2043,981,2,3026
2025-09,odisha,nayagarh,882,126,1,1009
2025-09,odisha,nuapada,885,206,0,1091
2025-09,odisha,puri,1209,249,0,1458
2025-09,odisha,rayagada,1417,334,1,1752
2025-09,odisha,sambalpur,843,131,0,974
2025-09,odisha,sonapur,633,112,0,745
2025-09,odisha,subarnapur,168,30,0,198
2025-09,odisha,sundargarh,242,53,0,295
2025-09,odisha,sundergarh,1504,303,8,1815
2025-09,puducherry,karaikal,210,14,0,224
2025-09,puducherry,pondicherry,416,25,0,441
2025-09,puducherry,puducherry,401,31,10,442
2025-09,puducherry,yanam,11,2,0,13
2025-09,punjab,amritsar,1862,337,21,2220
2025-09,punjab,barnala,309,32,0,341
2025-09,punjab,bathinda,952,123,2,1077
2025-09,punjab,faridkot,339,41,1,381
2025-09,punjab,fatehgarhsahib,361,38,3,402
2025-09,punjab,fazilka,756,123,3,882
2025-09,punjab,ferozepur,555,46,1,602
2025-09,punjab,firozpur,185,25,0,210
2025-09,punjab,gurdaspur,1298,152,3,1453
2025-09,punjab,hoshiarpur,902,67,3,972
2025-09,punjab,jalandhar,1242,234,10,1486
2025-09,punjab,kapurthala,380,64,64,508
2025-09,punjab,ludhiana,2521,597,40,3158
2025-09,punjab,malerkotla,262,56,0,318
2025-09,punjab,mansa,394,49,2,445
2025-09,punjab,moga,590,75,3,668
2025-09,punjab,muktsar,142,13,0,155
2025-09,punjab,nawanshahr,55,6,0,61
2025-09,punjab,pathankot,339,23,0,362
2025-09,punjab,patiala,1290,157,0,1447
2025-09,punjab,rupnagar,437,41,0,478
2025-09,punjab,s.a.snagar(mohali),93,15,0,108
2025-09,punjab,sangrur,837,87,0,924
2025-09,punjab,sasnagar(mohali),818,177,14,1009
2025-09,punjab,shaheedbhagatsinghnagar,310,39,1,350
2025-09,punjab,srimuktsarsahib,515,62,0,577
2025-09,punjab,tarntaran,878,95,0,973
2025-09,rajasthan,ajmer,3125,980,17,4122
2025-09,rajasthan,alwar,5235,2311,41,7587
2025-09,rajasthan,banswara,1902,1318,3,3223
2025-09,rajasthan,baran,1575,646,14,2235
2025-09,rajasthan,barmer,4413,2236,18,6667
2025-09,rajasthan,bharatpur,3996,2505,37,6538
2025-09,rajasthan,bhilwara,3141,1068,25,4234
2025-09,rajasthan,bikaner,2186,1865,32,4083
2025-09,rajasthan,bundi,1257,410,7,1674
2025-09,rajasthan,chittaurgarh,138,31,1,170
2025-09,rajasthan,chittorgarh,1361,689,28,2078
2025-09,rajasthan,churu,2645,1315,12,3972
2025-09,rajasthan,dausa,1824,643,5,2472
2025-09,rajasthan,deeg,0,2,0,2
2025-09,rajasthan,dhaulpur,45,16,0,61
2025-09,rajasthan,dholpur,2045,844,2,2891
2025-09,rajasthan,dungarpur,1620,1149,3,2772
2025-09,rajasthan,ganganagar,1464,551,9,2024
2025-09,rajasthan,hanumangarh,1368,384,7,1759
2025-09,rajasthan,jaipur,6530,2576,25,9131
2025-09,rajasthan,jaisalmer,751,500,8,1259
2025-09,rajasthan,jalor,3095,1889,8,4992
2025-09,rajasthan,jhalawar,2269,762,7,3038
2025-09,rajasthan,jhunjhunu,92,48,0,140
2025-09,rajasthan,jhunjhunun,2456,756,16,3228
2025-09,rajasthan,jodhpur,4211,2111,119,6441
2025-09,rajasthan,karauli,2050,813,9,2872
2025-09,rajasthan,kota,2012,756,37,2805
2025-09,rajasthan,nagaur,4461,1747,19,6227
2025-09,rajasthan,pali,2731,1112,24,3867
2025-09,rajasthan,pratapgarh,1229,540,3,1772
2025-09,rajasthan,rajsamand,1293,590,2,1885
2025-09,rajasthan,sawaimadhopur,1717,685,9,2411
2025-09,rajasthan,sikar,3566,1238,10,4814
2025-09,rajasthan,sirohi,1471,1084,7,2562
2025-09,rajasthan,tonk,1555,533,4,2092
2025-09,rajasthan,udaipur,3271,2205,8,5484
2025-09,sikkim,east,90,83,1,174
2025-09,sikkim,eastsikkim,67,77,7,151
